title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
Avatar,Avatar,"Action, Adventure, Fantasy, Science Fiction","culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d",Enter the World of Pandora.,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",162,10/12/2009,http://www.avatarmovie.com/,en,"English, Español","United States of America, United Kingdom","Ingenious Film Partners, Twentieth Century Fox Film Corporation, Dune Entertainment, Lightstorm Entertainment",237000000,2787965087,11800,7.2
Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action","ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger","At the end of the world, the adventure begins.","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",169,19/05/2007,http://disney.go.com/disneypictures/pirates/,en,English,United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",300000000,961000000,4500,6.9
Spectre,Spectre,"Action, Adventure, Crime","spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom",A Plan No One Escapes,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",148,26/10/2015,http://www.sonypictures.com/movies/spectre/,en,"Français, English, Español, Italiano, Deutsch","United Kingdom, United States of America","Columbia Pictures, Danjaq, B24",245000000,880674609,4466,6.3
The Dark Knight Rises,The Dark Knight Rises,"Action, Crime, Drama, Thriller","dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman",The Legend Ends,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",165,16/07/2012,http://www.thedarkknightrises.com/,en,English,United States of America,"Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",250000000,1084939099,9106,7.6
John Carter,John Carter,"Action, Adventure, Science Fiction","based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d","Lost in our world, found in another.","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",132,07/03/2012,http://movies.disney.com/john-carter,en,English,United States of America,Walt Disney Pictures,260000000,284139100,2124,6.1
Spider-Man 3,Spider-Man 3,"Fantasy, Action, Adventure","dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge",The battle within.,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",139,01/05/2007,http://www.sonypictures.com/movies/spider-man3/,en,"English, Français",United States of America,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",258000000,890871626,3576,5.9
Tangled,Tangled,"Animation, Family","hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick",They're taking adventure to new lengths.,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",100,24/11/2010,http://disney.go.com/disneypictures/tangled/,en,English,United States of America,"Walt Disney Pictures, Walt Disney Animation Studios",260000000,591794936,3330,7.4
Avengers: Age of Ultron,Avengers: Age of Ultron,"Action, Adventure, Science Fiction","marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d",A New Age Has Come.,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",141,22/04/2015,http://marvel.com/movies/movie/193/avengers_age_of_ultron,en,English,United States of America,"Marvel Studios, Prime Focus, Revolution Sun Studios",280000000,1405403694,6767,7.3
Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,"Adventure, Fantasy, Family","witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf",Dark Secrets Revealed,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",153,07/07/2009,http://harrypotter.warnerbros.com/harrypotterandthehalf-bloodprince/dvd/index.html,en,English,"United Kingdom, United States of America","Warner Bros., Heyday Films",250000000,933959197,5293,7.4
Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy","dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe",Justice or revenge,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",151,23/03/2016,http://www.batmanvsupermandawnofjustice.com/,en,English,United States of America,"DC Comics, Atlas Entertainment, Warner Bros., DC Entertainment, Cruel & Unusual Films, RatPac-Dune Entertainment",250000000,873260194,7004,5.7
Superman Returns,Superman Returns,"Adventure, Fantasy, Action, Science Fiction","saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor",,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",154,28/06/2006,http://www.superman.com,en,"English, Français, Deutsch",United States of America,"DC Comics, Legendary Pictures, Warner Bros., Bad Hat Harry Productions",270000000,391081192,1400,5.4
Quantum of Solace,Quantum of Solace,"Adventure, Action, Thriller, Crime","killing, undercover, secret agent, british secret service","For love, for hate, for justice, for revenge.","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",106,30/10/2008,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,en,"English, Español, Italiano, Français, Deutsch","United Kingdom, United States of America",Eon Productions,200000000,586090727,2965,6.1
Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action","witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger",Jack is back!,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",151,20/06/2006,http://disney.go.com/disneypictures/pirates/,en,"English, Türkçe, ελληνικά, 普通话","Jamaica, United States of America, Bahamas, Dominica","Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",200000000,1065659812,5246,7
The Lone Ranger,The Lone Ranger,"Action, Adventure, Western","texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto",Never Take Off the Mask,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",149,03/07/2013,http://disney.go.com/the-lone-ranger/,en,English,United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films, Infinitum Nihil, Silver Bullet Productions (II), Blind Wink Productions, Classic Media",255000000,89289910,2311,5.9
Man of Steel,Man of Steel,"Action, Adventure, Fantasy, Science Fiction","saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe",You will believe that a man can fly.,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",143,12/06/2013,http://www.manofsteel.com/,en,English,"United Kingdom, United States of America","Legendary Pictures, Warner Bros., DC Entertainment, Syncopy, Cruel and Unusual Films",225000000,662845518,6359,6.5
The Chronicles of Narnia: Prince Caspian,The Chronicles of Narnia: Prince Caspian,"Adventure, Family, Fantasy","based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world",Hope has a new face.,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",150,15/05/2008,,en,English,"Czech Republic, Poland, Slovenia, United States of America","Walt Disney, Walden Media, Stillking Films, Ozumi Films, Propeler, Silverbell Films, Revolution Sun Studios",225000000,419651413,1630,6.3
The Avengers,The Avengers,"Science Fiction, Action, Adventure","new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe",Some assembly required.,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",143,25/04/2012,http://marvel.com/avengers_movie/,en,English,United States of America,"Paramount Pictures, Marvel Studios",220000000,1519557910,11776,7.4
Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy","sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d",Live Forever Or Die Trying.,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",136,14/05/2011,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,en,"English, Español",United States of America,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company (MPC)",380000000,1045713802,4948,6.4
Men in Black 3,Men in Black 3,"Action, Comedy, Science Fiction","time travel, time machine, alien, fictional government agency, seeing the future, changing history",They are back... in time.,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",106,23/05/2012,http://www.sonypictures.com/movies/meninblack3/,en,English,United States of America,"Amblin Entertainment, Media Magik Entertainment, Imagenation Abu Dhabi FZ, Hemisphere Media Capital, Parkes/MacDonald Productions",225000000,624026776,4160,6.2
The Hobbit: The Battle of the Five Armies,The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy","corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery",Witness the defining chapter of the Middle-Earth saga,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",144,10/12/2014,http://www.thehobbit.com/,en,English,"New Zealand, United States of America","WingNut Films, New Line Cinema, Warner Bros. Pictures, 3Foot7, Metro-Goldwyn-Mayer (MGM)",250000000,956019788,4760,7.1
The Amazing Spider-Man,The Amazing Spider-Man,"Action, Adventure, Fantasy","loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger",The untold story begins.,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",136,27/06/2012,http://www.theamazingspiderman.com,en,English,United States of America,"Columbia Pictures, Laura Ziskin Productions, Marvel Entertainment",215000000,752215857,6586,6.5
Robin Hood,Robin Hood,"Action, Adventure","robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england","Rise and rise again, until lambs become lions.","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",140,12/05/2010,http://www.robinhoodthemovie.com/,en,"English, ภาษาไทย","United Kingdom, United States of America","Imagine Entertainment, Universal Pictures, Scott Free Productions, Relativity Media",200000000,310669540,1398,6.2
